Grupo de edad;Hombres;Mujeres
< 1 año;37167;30354
1-4;6535;5260
5-14;3025;2546
15-24;3222;4707
25-34;3376;10431
35-44;4356;8842
45-54;6503;6156
55-64;11868;8335
65-74;20324;12851
75-84;32720;21249
85-89;46550;33514
90-94;55529;42481
95+;61034;46380
